,clusters,x,y,Cluster_count,Fx,Fy,magnitude
53,52,1235.011212121212,-2869.129090909091,33,-12816.308700000001,14930.3379,19676.70598707701
54,53,1403.6378857142856,-2859.9230857142857,175,-145202.62063,151915.88672,210148.13269630444
55,54,1510.3438095238096,-3146.536666666667,21,-1735.0775999999987,13795.627840000001,13904.310187053685
56,55,1530.662916666667,-2933.4835416666665,48,3343.3061000000007,25118.63309,25340.154379725867
57,56,437.5143939393939,-3524.348181818182,66,-111844.84902,-167384.05011,201312.4200925854
58,57,208.16185325925926,-3579.2186666666666,945,1775872.9789979998,5878055.157978,6140460.673090171
59,58,1312.8619375,-3357.0254999999997,160,2239007.42725,1164245.31305,2523612.7690752316
60,59,1266.0153333333333,-3233.6866666666665,45,8059.818999999998,-31284.583,32306.12659847432
61,60,1703.9202259887006,-3046.439943502825,354,6739868.8666550005,-8608508.74766,10933080.773425398
62,61,1437.5142990654206,-3237.4714953271027,107,-81323.70381,93308.813086,123774.30832323279
63,62,-2137.3599999999997,2844.622108108108,185,-54987.055029999996,-24423.03209,60166.9404020299
64,63,-3061.07623655914,-1283.6182795698924,93,-145555.296,-52071.82569,154589.19504395305
65,64,76.12909393939394,-3305.962121212121,33,-261331.897,259134.774,368028.791653112
66,65,-2807.227592592593,-2196.274814814815,54,-874543.686,147263.47,886855.787780013
67,66,-3160.8687732342005,-2012.150966542751,269,-369380.79929,360118.77955,515875.67326701956
68,67,-2962.5427839643653,-2217.4629175946548,449,-274764.32078,1513001.1937,1537747.7179665458
69,68,-793.9776144578315,-3568.9044578313255,83,70983.7173,-50264.88829,86978.42903003308
70,69,-2280.7469402985075,1553.2764925373133,134,246840.0632,185441.11294999998,308736.81862180715
71,70,-3311.6657575757577,-1763.0645454545454,33,-17295.541100000002,25316.84866,30660.700709787
72,71,-3207.205407725322,-624.509364806867,233,-118735.84755,-1332129.2028,1337410.338843685
73,72,-2669.98223880597,-2520.1326865671645,67,-237819.8493,97673.06869,257095.91414177738
74,73,-2543.6887542087543,-2442.0027272727275,297,-1592357.2332,47090.070547,1593053.3678657725
75,74,3098.372515337423,2098.7962576687114,163,16977.487238,141046.72378,142064.82098671744
76,75,-2707.631194029851,-1410.7840298507463,67,-97200.3557,-41464.1676,105674.90876725379
77,76,-2867.9379452054795,-1316.404794520548,73,-106346.132,-52695.8728,118685.95031222189
78,77,52.40910384615385,3419.631538461538,26,-12638.538,-3071.3133,13006.367985114095
79,78,91.06562000000001,3304.1042222222222,45,222693.6359,-305351.4727,377931.1807067797
80,79,1116.8898360655737,3287.055409836066,61,-36532.747,83007.26291,90690.94386528277
81,80,292.38215,3242.487,20,67450.6765,-95527.3695,116940.46384334716
82,81,262.6891607142857,3352.2284821428575,112,-73624.4131,79782.509711,108562.43853241904
83,82,955.2751818181819,-3319.720909090909,22,-59109.221000000005,-19827.033,62345.89998395989
84,83,932.7246829268292,-3156.6231707317074,41,2218.4790000000066,-51693.8316,51741.41353463973
85,84,787.6472121212121,-3138.5173484848483,132,-18407.059677000005,-471242.734,471602.09307608823
86,85,33.21913571428571,2771.374642857143,28,141205.342,-218480.8287,260140.00291915066
87,86,-2887.623357664234,-1497.378686131387,137,-222604.2926,-87042.5459,239016.8945507828
88,87,-2047.0808333333334,1582.1216666666667,72,-49021.02138,49593.69355,69732.3094201657
89,88,-82.57394166666667,3295.4908333333333,24,129000.36499,-178574.18,220294.8749522458
90,89,2110.621106158711,-1477.7340394518899,33205,124455649.999762,-64671894.9166629,140255705.0853018
91,90,452.7389880952381,3327.185833333333,84,-9728.1872,-20195.92553,22416.802497491688
92,91,-2712.2671794871794,-1816.9817948717948,39,-63222.96,-31993.9143,70857.27360968206
93,92,-2962.3334326018808,-1607.7400940438872,638,-979502.7616,-326034.066168,1032339.0297204045
94,93,-3020.0929642857145,-1869.8241607142857,560,-1357093.9239,-303074.27434,1390524.3378139832
95,94,-3013.9548,-577.30418,50,-63408.447,-275798.107,282993.3338008782
96,95,1088.2810526315789,3596.124561403509,57,-508493.638,-518987.805,726576.989468558
97,96,1220.9180710659898,3490.0927918781726,197,-137362.4932,118304.96181000001,181285.73724092473
98,97,-604.1407027027027,-3677.421621621622,74,-3874.2210000000014,797588.488,797597.8973006906
99,98,-426.1622608695652,-3728.8041304347826,46,114526.3031,65462.623,131915.234570512
100,99,-603.0234071428572,-3316.8014285714285,140,-165695.6703,-35623.89659,169481.90807405172
101,100,901.1674444444444,3310.452222222222,189,-248668.88559999998,288370.6537,380780.57799855183
102,101,-558.8505384615385,-3584.0203846153845,26,141823.119,180192.475,229310.10690659448
103,102,-495.62454651162795,-3596.7024418604647,86,233324.2869,-23996.888,234555.05428593533
104,103,-512.82696,-3376.5672000000004,25,-7536.820000000001,12860.5992,14906.329779507787
105,104,-528.7761641791044,-3456.4902985074627,67,-85295.22799,79785.7987,116794.90396444102
